feature,bucket,best_stop_pct,n_trades,win_rate,mean_net_pct,total_return
spread_bps_at_entry,q1 [2.341,8.003],0.01,18,0.3333333333333333,-0.003230343459749285,-0.5815355122109067
spread_bps_at_entry,q2 [8.496,14.54],0.01,18,0.2222222222222222,-0.0031531871622423437,-0.5683712728382195
spread_bps_at_entry,q3 [14.74,19.21],0.1,18,0.7777777777777778,0.006404785201257945,1.1574432689211323
spread_bps_at_entry,q4 [19.38,27.85],0.06,18,0.6111111111111112,0.018377141880725742,3.341863672118972
ask_depth_usd,q1 [226.8,2580],0.035,14,0.6428571428571429,0.010330734360411225,1.4532868170281432
ask_depth_usd,q2 [2877,5251],0.02,14,0.5714285714285714,0.01745298021305646,2.4595046599475756
ask_depth_usd,q3 [5429,8548],0.025,13,0.6153846153846154,0.008494924663376039,1.1043214260572753
ask_depth_usd,q4 [9445,3.712e+04],0.01,16,0.1875,-0.007826861643722136,-1.2455555617012615
bid_depth_usd,q1 [55.42,1023],0.035,14,0.6428571428571429,0.01521030698767212,2.14114358665749
bid_depth_usd,q2 [1243,4173],0.07,14,0.5714285714285714,0.0035321772899949157,0.4941535424674459
bid_depth_usd,q3 [4173,1.975e+04],0.01,14,0.42857142857142855,0.006544724460174707,0.9147784645614943
bid_depth_usd,q4 [1.975e+04,6.212e+04],0.03,16,0.375,-0.0012837775005868665,-0.2125799410420126
ret_24h,q1 [0.139,0.2736],0.08,18,0.5555555555555556,0.015443518763016454,2.8017951751768244
ret_24h,q2 [0.2736,0.4771],0.01,18,0.2777777777777778,0.0017603510309645615,0.3115402364466835
ret_24h,q3 [0.4988,0.9716],0.01,17,0.47058823529411764,-0.0004929705561755082,-0.08586778200374567
ret_24h,q4 [0.9901,2.894],0.1,17,0.7058823529411765,0.005051795284780935,0.8607768119902826
avg_trade_size_60s,q1 [4.91,69.56],0.07,17,0.6470588235294118,0.010631818613888054,1.8136542504728626
avg_trade_size_60s,q2 [69.56,125.9],0.08,17,0.29411764705882354,0.0026108172566562215,0.43843871038657944
avg_trade_size_60s,q3 [125.9,248.3],0.01,18,0.3888888888888889,0.0025521243128063644,0.45776306510789677
avg_trade_size_60s,q4 [260.1,1251],0.02,18,0.7222222222222222,0.006741042308764865,1.2131261021069983
step_2m,q1 [0.00557,0.01503],0.01,18,0.2777777777777778,-0.0008401738290972137,-0.15380147770117647
step_2m,q2 [0.01513,0.01805],0.01,16,0.4375,0.0017483941664436379,0.277626483906257
step_2m,q3 [0.01861,0.028],0.02,18,0.7777777777777778,0.016073462536837765,2.919904859373368
step_2m,q4 [0.03017,0.1703],0.1,18,0.5,0.0023457005844937143,0.41530640109257444
candle_close_str_1m,q1 [0.704,0.853],0.1,18,0.3888888888888889,-0.00414447625513158,-0.7449512286321847
candle_close_str_1m,q2 [0.853,0.953],0.08,17,0.4117647058823529,0.006014218294599966,1.0212144385521649
candle_close_str_1m,q3 [0.953,1],0.035,18,0.6666666666666666,0.0057595980475565,1.0377454819090692
candle_close_str_1m,q4 [1,1],0.015,18,0.5,0.00849596871953633,1.525512874274293